article,is_seed,source
Aarogya Setu,False,outlink
Ab Osterhaus,False,outlink
AbC-19 rapid antibody test,False,outlink
Abdala (vaccine),False,outlink
Abscess,False,outlink
Acetaminophen,False,outlink
Acquiescence,False,outlink
Acquired brain injury,False,outlink
Acquired taste,False,outlink
Acrylate,False,outlink
Action potential,False,outlink
Acute (medicine),False,outlink
Acute bronchitis,False,outlink
Acute disseminated encephalomyelitis,False,outlink
Acute exacerbation of chronic obstructive pulmonary disease,False,outlink
Acute heart failure,False,outlink
Acute interstitial pneumonia,False,outlink
Acute kidney injury,False,outlink
Acute myocarditis,False,outlink
Acute renal failure,False,outlink
Acute respiratory distress syndrome,False,outlink
AdCLD-CoV19,False,outlink
AdNow,False,category
Adaptive immune system,False,outlink
Addison's disease,False,outlink
Adenine,False,outlink
Adenoid hypertrophy,False,outlink
Adenosine deaminase,False,outlink
Adenoviridae,False,outlink
Adenovirus,False,outlink
Adenovirus infection,False,outlink
Adrenal fatigue,False,outlink
Adrenergic agonist,False,outlink
Adria virus,False,outlink
Adult T-cell leukemia/lymphoma,False,outlink
Adult-onset Still's disease,False,outlink
Aerophagia,False,outlink
Aerosol,False,outlink
Aerosol transmission,False,outlink
Aerosols,False,outlink
Aesthetic interpretation,False,outlink
Affect (psychology),False,outlink
Affective forecasting,False,outlink
Afferent nerve,False,outlink
Africa Centres for Disease Control and Prevention,False,outlink
African trypanosomiasis,False,outlink
Aftertaste,False,outlink
Agatha Jassem,False,category
Agency for Healthcare Research and Quality,False,outlink
Ageusia,True,seed
Agonal respiration,False,outlink
Ai Fen,False,outlink
Aid and relief efforts during the COVID-19 pandemic in Malaysia,False,outlink
Air China Flight 112,False,outlink
Air filtration,False,outlink
Air pollution,False,outlink
Air purifier,False,outlink
Airborne pathogen,False,outlink
Airborne transmission,False,outlink
Airway clearance therapy,False,outlink
Akiko Iwasaki,False,backlink
Ala Nemerenco,False,outlink
Alan Keyes,False,category
Alanine,False,outlink
Albert Fraenkel (1848–1916),False,outlink
Alcoholism,False,outlink
Ali Pilli,False,outlink
Alkhurma virus,False,outlink
Allele,False,outlink
Allergic bronchopulmonary aspergillosis,False,outlink
Allergic rhinitis,False,outlink
Allergies,False,outlink
Allergy,False,outlink
Allison McGeer,False,outlink
Alma Möller,False,outlink
Aloxistatin,False,category
Alpha blocker,False,outlink
Alphacoronavirus,False,outlink
Alphacoronavirus 1,False,outlink
Altered mental state,False,outlink
Aluminosis,False,outlink
Alveolar macrophage,False,outlink
Alzheimer's disease,False,outlink
Alzheimer's disease and COVID-19,False,category
Amantadine,False,outlink
American Academy of Pediatrics,False,outlink
Amino acid,False,outlink
Aminoglycoside,False,outlink
Amiodarone,False,outlink
Amnesia,False,outlink
Amniotic fluid,False,outlink
Amodal perception,False,outlink
Amoxicillin,False,outlink
Amphetamine-type stimulant,False,outlink
Amur virus,False,outlink
Anaerobic organism,False,outlink
Anakinra,False,outlink
Anal cancer,False,outlink
Analgesics,False,outlink
Ancient Greek,False,outlink
Andecovirus,False,outlink
Anders Tegnell,False,outlink
Andes orthohantavirus,False,outlink
Andrea Crisanti (scientist),False,backlink
Anemia,False,outlink
Angelo Borrelli,False,backlink
Anger,False,outlink
Angiotensin II receptor blocker,False,outlink
Angiotensin converting enzyme 2,False,outlink
Angiotensin-converting enzyme 2,False,outlink
Animal study,False,outlink
Anorexia,False,outlink
Anorexia (symptom),False,outlink
Anosmia,True,seed
Anosmia Awareness Day,False,outlink
Anterograde amnesia,False,outlink
Anthony Fauci,False,backlink
Anthony L. Komaroff,False,outlink
Anthropause,False,category
Anthroponotic disease,False,outlink
Anti-HIV medications,False,outlink
Anti-mask sentiment,False,outlink
Anti-pyretic,False,outlink
Antibiotic,False,outlink
Antibiotics,False,outlink
Antibody,False,outlink
Antibody response,False,outlink
Antibody-dependent cellular cytotoxicity,False,outlink
Antidepressant,False,outlink
Antigen,False,outlink
Antihistamine,False,outlink
Antihistamines,False,outlink
Antihypotensive agent,False,outlink
Antimalarial medication,False,outlink
Antimicrobial resistance,False,outlink
Antipyretic,False,outlink
Antisepsis,False,outlink
Antiviral,False,outlink
Antiviral drug,False,outlink
Antiviral protein,False,outlink
Anutin Charnvirakul,False,backlink
Anxiety,False,outlink
Anxiety disorder,False,outlink
Aphonia,False,outlink
Apnea,False,outlink
Apnea of prematurity,False,outlink
Apoorva Mandavilli,False,outlink
Appendicitis,False,outlink
Aptamer,False,outlink
ArXiv (identifier),False,outlink
Arachidonic acid,False,outlink
Arachidonic acid pathway,False,outlink
Arbovirus encephalitis,False,outlink
ArcGIS,False,outlink
Arenavirus,False,outlink
Argentine hemorrhagic fever,False,outlink
Argentinian mammarenavirus,False,outlink
Arginine,False,outlink
Arrhythmia,False,outlink
Arterial,False,outlink
Arterioles,False,outlink
Arthralgia,False,outlink
Arthritis,False,outlink
Arthropod,False,outlink
Artist Relief,False,outlink
Asbestosis,False,outlink
Ascaris lumbricoides,False,outlink
Aseem Malhotra,False,category
Ashley Bloomfield,False,outlink
Ashraf Sehrai,False,backlink
Aspartate aminotransferase,False,outlink
Aspergillosis,False,outlink
Asphyxia,False,outlink
Aspiration pneumonia,False,outlink
Aspirin,False,outlink
Aspirin-exacerbated respiratory disease,False,outlink
Asplenia,False,outlink
Assessment on COVID-19 Origins,False,category
Association (psychology),False,outlink
Asthenia,False,outlink
Asthma,False,outlink
Astrocyte,False,outlink
Astrovirus,False,outlink
Asymptomatic,False,outlink
Ataxia,False,outlink
Ataxic respiration,False,outlink
Atelectasis,False,outlink
Atilotrelvir,False,category
Atlantic Bubble,False,outlink
Atopy,False,outlink
Atrial fibrillation,False,outlink
Atrophy,False,outlink
Attack (political party),False,category
Attention,False,outlink
Attenuated vaccine,False,outlink
Atypical pneumonia,False,outlink
Auditory hallucination,False,outlink
Auscultation,False,outlink
Australian bat lyssavirus,False,outlink
Autism spectrum,False,outlink
Autoantibody,False,outlink
Autoimmune disease,False,outlink
Autoimmune diseases,False,outlink
Autoimmune hepatitis,False,outlink
Autoimmunity,False,outlink
Autonomic nervous system,False,outlink
Autopsy,False,outlink
Avanos Medical,False,outlink
Avian coronavirus,False,outlink
Avian coronavirus 9203,False,outlink
Avian influenza,False,outlink
Aviation,False,outlink
Awang Bulgiba Awang Mahmud,False,outlink
Awareness,False,outlink
Axonal initial segment,False,outlink
Aytaç Yalman,False,backlink
Azithromycin,False,outlink
Azra Ghani,False,outlink
Azvudine,False,category
B virus,False,outlink
BA.5,False,outlink
BANAL-52,False,outlink
BBC,False,outlink
BBC News,False,outlink
BBC News Online,False,outlink
BC-007,False,category
BK virus,False,outlink
BMJ,False,outlink
BMJ (company),False,outlink
BSL3,False,outlink
Bacteria,False,outlink
Bacterial infection,False,outlink
Bacterial pneumonia,False,outlink
Bacterial spore,False,outlink
Bagassosis,False,outlink
Baloxavir marboxil,False,outlink
Bamlanivimab,False,category
Bamlanivimab/etesevimab,False,category
Bangavax,False,outlink
Banna virus,False,outlink
Baricitinib,False,category
Baritosis,False,outlink
Basal metabolic rate,False,outlink
Base pair,False,outlink
Basic reproduction number,False,outlink
Basigin,False,outlink
Bat,False,outlink
Bat SARS-like coronavirus WIV1,False,outlink
Bat coronavirus HKU10,False,outlink
Bat virome,False,outlink
Batai virus,False,outlink
Bauxite fibrosis,False,outlink
Beat the Devil (play),False,category
Beauveria bassiana,False,outlink
Bebtelovimab,False,category
Behavior,False,outlink
Behaviour,False,outlink
Bell's Palsy,False,outlink
Bell's palsy,False,outlink
Beluga whale coronavirus SW1,False,outlink
Ben Cohen (businessman),False,outlink
Benign,False,outlink
Benzalkonium chloride,False,outlink
Benzodiazepines,False,outlink
Berylliosis,False,outlink
Beta blocker,False,outlink
Beta-CoV,False,outlink
Beta-lactam antibiotic,False,outlink
Betacellulin,False,outlink
Betacoronavirus,False,outlink
Betacoronavirus 1,False,outlink
Betacoronavirus pandemicum,False,outlink
Bevacizumab,False,outlink
Bhanja virus,False,outlink
Bibcode (identifier),False,outlink
Biden Administration COVID-19 action plan,False,outlink
Bill Pullman,False,outlink
Binding domain,False,outlink
Bio-secure bubble,False,outlink
BioNTech,False,outlink
BioRxiv (identifier),False,outlink
Bioethics,False,outlink
Biological agent,False,outlink
Biological aging,False,outlink
Biological nomenclature,False,outlink
Biology,False,outlink
Biomarker (medicine),False,outlink
Biopsy,False,outlink
Biopsychosocial model,False,outlink
Biot's respiration,False,outlink
Bird fancier's lung,False,outlink
Bitter (taste),False,outlink
Black British people,False,outlink
Black-owned business,False,backlink
Blastomyces,False,outlink
Blindness,False,outlink
Blood cell,False,outlink
Blood clots,False,outlink
Blood culture,False,outlink
Blood cultures,False,outlink
Blood disorders,False,outlink
Blood pressure,False,outlink
Blood test,False,outlink
Blood type,False,outlink
Blood–brain barrier,False,outlink
BlueTrace,False,outlink
Body temperature,False,outlink
Boils,False,outlink
Bolivian hemorrhagic fever,False,outlink
Booster dose,False,outlink
Boredom,False,outlink
Boroughs of Montreal during the COVID-19 pandemic,False,outlink
Botswana,False,outlink
Bourbon virus,False,outlink
Bovine coronavirus,False,outlink
Bradypnea,False,outlink
Brain damage,False,outlink
Brainstem,False,outlink
Brangacovirus,False,outlink
Brazil,False,outlink
Brazilian hemorrhagic fever,False,outlink
Breastfeeding,False,outlink
Breath-holding spell,False,outlink
Breathing,False,outlink
Breathing difficulties,False,outlink
Brett Crozier,False,outlink
BriLife,False,outlink
British Asian,False,outlink
British National Formulary for Children,False,outlink
British Thoracic Society,False,outlink
British government response to the COVID-19 pandemic,False,outlink
Broad-spectrum antiviral drug,False,outlink
Bronchial hyperresponsiveness,False,outlink
Bronchial pneumonia,False,outlink
Bronchiectasis,False,outlink
Bronchiolitis,False,outlink
Bronchiolitis obliterans,False,outlink
Bronchiolitis obliterans organizing pneumonia,False,outlink
Bronchitis,False,outlink
Bronchoalveolar lavage,False,outlink
Bronchoalveolar lavage fluid,False,outlink
Bronchophony,False,outlink
Bronchopneumonia,False,outlink
Bronchopulmonary segment,False,outlink
Bronchus,False,outlink
Brown adipose tissue,False,outlink
Bruce Aylward,False,outlink
Brucellosis,False,outlink
Buddhist mythology,False,outlink
Bulbul coronavirus HKU11,False,outlink
Buldecovirus,False,outlink
Bulgarian National Alliance,False,category
Bulgarian National Unification,False,category
Bulgarian Patriots,False,category
Bulletin of the New York Academy of Medicine,False,outlink
Bundibugyo virus,False,outlink
Bunyamwera orthobunyavirus,False,outlink
Bunyavirales,False,outlink
Burkitt's lymphoma,False,outlink
Burning mouth syndrome,False,outlink
Bwamba orthobunyavirus,False,outlink
Byssinosis,False,outlink
Byung-Chul Han,False,outlink
C-reactive protein,False,outlink
CAPG,False,outlink
CCL3,False,outlink
CD14,False,outlink
CD4+ T cell,False,outlink
CD40 (protein),False,outlink
CDCP1,False,outlink
COH04S1,False,outlink
COPD,False,outlink
COVAX-19,False,outlink
COVI-VAC (U.S. COVID-19 vaccine),False,outlink
COVID Alert,False,outlink
COVID Moonshot,False,outlink
COVID Tracker Ireland,False,outlink
COVID fog,False,category
COVID kit,False,category
COVID toes,False,category
COVID variant,False,outlink
COVID-19,True,seed
COVID-19 Advisory Board,False,outlink
COVID-19 Contact-Confirming Application,False,outlink
COVID-19 Genomics UK Consortium,False,outlink
COVID-19 Immunity Task Force,False,outlink
COVID-19 Pandemic Unemployment Payment,False,outlink
COVID-19 Protection Framework,False,outlink
COVID-19 Response Acceleration Task Force,False,outlink
COVID-19 Supply Council,False,outlink
COVID-19 alert levels in New Zealand,False,outlink
COVID-19 and Its Challenges,False,category
COVID-19 and cancer,False,outlink
COVID-19 and homelessness,False,category
COVID-19 apps,False,outlink
COVID-19 cases at the 2020 Summer Olympics and 2020 Summer Paralympics,False,outlink
COVID-19 cases at the 2022 Winter Olympics and 2022 Winter Paralympics,False,outlink
COVID-19 community quarantines in the Philippines,False,outlink
COVID-19 datasets,False,category
COVID-19 drug development,False,category
COVID-19 drug repurposing research,False,category
COVID-19 hospital,False,category
COVID-19 hospitals in the United Kingdom,False,outlink
COVID-19 in pregnancy,False,outlink
COVID-19 lab leak theory,False,outlink
COVID-19 litigation involving China,False,category
COVID-19 local lockdown regulations in England,False,outlink
COVID-19 lockdown in China,False,backlink
COVID-19 lockdown in India,False,outlink
COVID-19 lockdowns,False,category
COVID-19 lockdowns by country,False,category
COVID-19 lockdowns in Italy,False,backlink
COVID-19 managed isolation in New Zealand,False,outlink
COVID-19 misinformation,False,category
COVID-19 misinformation by China,False,outlink
COVID-19 misinformation by governments,False,category
COVID-19 misinformation by the United States,False,outlink
COVID-19 misinformation in Canada,False,category
COVID-19 misinformation in the Philippines,False,outlink
COVID-19 naming,False,category
COVID-19 pandemic,False,category
COVID-19 pandemic and animals,False,category
COVID-19 pandemic by country and territory,False,category
COVID-19 pandemic cases,False,backlink
COVID-19 pandemic death rates by country,False,outlink
COVID-19 pandemic deaths,False,outlink
COVID-19 pandemic in Abkhazia,False,outlink
COVID-19 pandemic in Afghanistan,False,outlink
COVID-19 pandemic in Africa,False,backlink
COVID-19 pandemic in Akrotiri and Dhekelia,False,outlink
COVID-19 pandemic in Alabama,False,outlink
COVID-19 pandemic in Alaska,False,outlink
COVID-19 pandemic in Albania,False,backlink
COVID-19 pandemic in Alberta,False,outlink
COVID-19 pandemic in Algeria,False,backlink
COVID-19 pandemic in American Samoa,False,outlink
COVID-19 pandemic in Andhra Pradesh,False,outlink
COVID-19 pandemic in Andorra,False,backlink
COVID-19 pandemic in Angola,False,outlink
COVID-19 pandemic in Anguilla,False,outlink
COVID-19 pandemic in Antarctica,False,outlink
COVID-19 pandemic in Antigua and Barbuda,False,outlink
COVID-19 pandemic in Argentina,False,backlink
COVID-19 pandemic in Arizona,False,outlink
COVID-19 pandemic in Arkansas,False,outlink
COVID-19 pandemic in Armenia,False,backlink
COVID-19 pandemic in Aruba,False,outlink
COVID-19 pandemic in Arunachal Pradesh,False,outlink
COVID-19 pandemic in Asia,False,backlink
COVID-19 pandemic in Assam,False,outlink
COVID-19 pandemic in Asturias,False,outlink
"COVID-19 pandemic in Austin, Texas",False,outlink
COVID-19 pandemic in Australia,False,backlink
COVID-19 pandemic in Austria,False,backlink
COVID-19 pandemic in Azerbaijan,False,backlink
COVID-19 pandemic in Bahrain,False,backlink
COVID-19 pandemic in Bangladesh,False,outlink
COVID-19 pandemic in Bangsamoro,False,outlink
COVID-19 pandemic in Barbados,False,outlink
COVID-19 pandemic in Beijing,False,outlink
COVID-19 pandemic in Belarus,False,backlink
COVID-19 pandemic in Belgium,False,backlink
COVID-19 pandemic in Belize,False,outlink
COVID-19 pandemic in Benin,False,outlink
COVID-19 pandemic in Bermuda,False,outlink
COVID-19 pandemic in Bhutan,False,outlink
COVID-19 pandemic in Bihar,False,outlink
COVID-19 pandemic in Bolivia,False,outlink
COVID-19 pandemic in Bonaire,False,outlink
COVID-19 pandemic in Bosnia and Herzegovina,False,backlink
COVID-19 pandemic in Boston,False,outlink
COVID-19 pandemic in Botswana,False,outlink
COVID-19 pandemic in Brazil,False,backlink
COVID-19 pandemic in British Columbia,False,outlink
COVID-19 pandemic in Brunei,False,backlink
COVID-19 pandemic in Bulgaria,False,backlink
COVID-19 pandemic in Burkina Faso,False,outlink
COVID-19 pandemic in Burundi,False,outlink
COVID-19 pandemic in Cagayan Valley,False,outlink
COVID-19 pandemic in Calabarzon,False,outlink
COVID-19 pandemic in California,False,backlink
COVID-19 pandemic in Cambodia,False,backlink
COVID-19 pandemic in Cameroon,False,backlink
COVID-19 pandemic in Canada,False,backlink
COVID-19 pandemic in Cape Verde,False,outlink
COVID-19 pandemic in Caraga,False,outlink
COVID-19 pandemic in Central Luzon,False,outlink
COVID-19 pandemic in Central Visayas,False,outlink
COVID-19 pandemic in Ceuta,False,outlink
COVID-19 pandemic in Chad,False,outlink
COVID-19 pandemic in Chandigarh,False,outlink
COVID-19 pandemic in Chhattisgarh,False,outlink
COVID-19 pandemic in Chile,False,backlink
COVID-19 pandemic in Christmas Island,False,outlink
COVID-19 pandemic in Colombia,False,backlink
COVID-19 pandemic in Colorado,False,outlink
"COVID-19 pandemic in Columbus, Ohio",False,outlink
COVID-19 pandemic in Connecticut,False,outlink
COVID-19 pandemic in Costa Rica,False,backlink
COVID-19 pandemic in Crimea,False,outlink
COVID-19 pandemic in Croatia,False,outlink
COVID-19 pandemic in Cuba,False,outlink
COVID-19 pandemic in Curaçao,False,outlink
COVID-19 pandemic in Cusco,False,outlink
COVID-19 pandemic in Cyprus,False,backlink
COVID-19 pandemic in Dadra and Nagar Haveli and Daman and Diu,False,outlink
COVID-19 pandemic in Delaware,False,outlink
COVID-19 pandemic in Delhi,False,outlink
COVID-19 pandemic in Denmark,False,backlink
COVID-19 pandemic in Djibouti,False,outlink
COVID-19 pandemic in Dominica,False,outlink
COVID-19 pandemic in Easter Island,False,outlink
COVID-19 pandemic in Eastern Visayas,False,outlink
COVID-19 pandemic in Ecuador,False,backlink
COVID-19 pandemic in Egypt,False,backlink
COVID-19 pandemic in El Salvador,False,outlink
COVID-19 pandemic in England,False,outlink
COVID-19 pandemic in Equatorial Guinea,False,outlink
COVID-19 pandemic in Eritrea,False,outlink
COVID-19 pandemic in Estonia,False,backlink
COVID-19 pandemic in Eswatini,False,outlink
COVID-19 pandemic in Ethiopia,False,outlink
COVID-19 pandemic in Europe,False,backlink
COVID-19 pandemic in Fiji,False,outlink
COVID-19 pandemic in Finland,False,backlink
COVID-19 pandemic in Florida,False,outlink
COVID-19 pandemic in France,False,backlink
COVID-19 pandemic in French Guiana,False,outlink
COVID-19 pandemic in French Polynesia,False,outlink
COVID-19 pandemic in Gabon,False,outlink
COVID-19 pandemic in Gagauzia,False,outlink
COVID-19 pandemic in Georgia (U.S. state),False,outlink
COVID-19 pandemic in Georgia (country),False,backlink
COVID-19 pandemic in Germany,False,backlink
COVID-19 pandemic in Ghana,False,outlink
COVID-19 pandemic in Gibraltar,False,outlink
COVID-19 pandemic in Goa,False,outlink
COVID-19 pandemic in Greece,False,backlink
COVID-19 pandemic in Greenland,False,outlink
COVID-19 pandemic in Grenada,False,outlink
COVID-19 pandemic in Guadeloupe,False,outlink
COVID-19 pandemic in Guam,False,outlink
COVID-19 pandemic in Guatemala,False,outlink
COVID-19 pandemic in Guernsey,False,backlink
COVID-19 pandemic in Guinea,False,outlink
COVID-19 pandemic in Guinea-Bissau,False,outlink
COVID-19 pandemic in Gujarat,False,outlink
COVID-19 pandemic in Guyana,False,outlink
COVID-19 pandemic in Haiti,False,outlink
COVID-19 pandemic in Haryana,False,outlink
COVID-19 pandemic in Hawaii,False,outlink
COVID-19 pandemic in Heilongjiang,False,outlink
COVID-19 pandemic in Henan,False,outlink
COVID-19 pandemic in Himachal Pradesh,False,outlink
COVID-19 pandemic in Honduras,False,outlink
COVID-19 pandemic in Hong Kong,False,backlink
COVID-19 pandemic in Hubei,False,backlink
COVID-19 pandemic in Hungary,False,backlink
COVID-19 pandemic in Iceland,False,backlink
COVID-19 pandemic in Idaho,False,outlink
COVID-19 pandemic in Illinois,False,outlink
COVID-19 pandemic in India,False,outlink
COVID-19 pandemic in Indiana,False,outlink
COVID-19 pandemic in Indonesia,False,backlink
COVID-19 pandemic in Inner Mongolia,False,outlink
COVID-19 pandemic in Iowa,False,outlink
COVID-19 pandemic in Iran,False,backlink
COVID-19 pandemic in Iraq,False,backlink
COVID-19 pandemic in Israel,False,backlink
COVID-19 pandemic in Italy,False,backlink
COVID-19 pandemic in Ivory Coast,False,outlink
COVID-19 pandemic in Jamaica,False,outlink
COVID-19 pandemic in Jammu and Kashmir,False,outlink
COVID-19 pandemic in Japan,False,backlink
COVID-19 pandemic in Jersey,False,outlink
COVID-19 pandemic in Jharkhand,False,outlink
COVID-19 pandemic in Johor,False,outlink
COVID-19 pandemic in Jordan,False,outlink
COVID-19 pandemic in Kansas,False,outlink
COVID-19 pandemic in Karnataka,False,outlink
COVID-19 pandemic in Kazakhstan,False,outlink
COVID-19 pandemic in Kentucky,False,outlink
COVID-19 pandemic in Kenya,False,outlink
COVID-19 pandemic in Kerala,False,backlink
COVID-19 pandemic in Kiribati,False,outlink
COVID-19 pandemic in Kosovo,False,outlink
COVID-19 pandemic in Kuala Lumpur,False,outlink
COVID-19 pandemic in Kuwait,False,backlink
COVID-19 pandemic in Kyrgyzstan,False,outlink
COVID-19 pandemic in Ladakh,False,outlink
COVID-19 pandemic in Lakshadweep,False,outlink
COVID-19 pandemic in Laos,False,outlink
COVID-19 pandemic in Latvia,False,backlink
COVID-19 pandemic in Lebanon,False,backlink
COVID-19 pandemic in Lesotho,False,outlink
COVID-19 pandemic in Liaoning,False,outlink
COVID-19 pandemic in Liberia,False,outlink
COVID-19 pandemic in Libya,False,outlink
COVID-19 pandemic in Liechtenstein,False,backlink
COVID-19 pandemic in Lithuania,False,backlink
COVID-19 pandemic in London,False,outlink
COVID-19 pandemic in Louisiana,False,outlink
COVID-19 pandemic in Luxembourg,False,backlink
COVID-19 pandemic in Macau,False,backlink
COVID-19 pandemic in Madagascar,False,outlink
COVID-19 pandemic in Madhya Pradesh,False,outlink
COVID-19 pandemic in Maharashtra,False,outlink
COVID-19 pandemic in Maine,False,outlink
COVID-19 pandemic in Malawi,False,outlink
COVID-19 pandemic in Malaysia,False,backlink
COVID-19 pandemic in Maldives,False,outlink
COVID-19 pandemic in Mali,False,outlink
COVID-19 pandemic in Malta,False,backlink
COVID-19 pandemic in Manipur,False,outlink
COVID-19 pandemic in Manitoba,False,outlink
COVID-19 pandemic in Martinique,False,outlink
COVID-19 pandemic in Maryland,False,outlink
COVID-19 pandemic in Massachusetts,False,outlink
COVID-19 pandemic in Mauritania,False,outlink
COVID-19 pandemic in Mauritius,False,outlink
COVID-19 pandemic in Mayotte,False,outlink
COVID-19 pandemic in Meghalaya,False,outlink
COVID-19 pandemic in Melilla,False,outlink
COVID-19 pandemic in Metro Manila,False,outlink
COVID-19 pandemic in Mexico,False,backlink
COVID-19 pandemic in Michigan,False,outlink
COVID-19 pandemic in Mimaropa,False,outlink
COVID-19 pandemic in Minnesota,False,outlink
COVID-19 pandemic in Mississippi,False,outlink
COVID-19 pandemic in Missouri,False,outlink
COVID-19 pandemic in Mizoram,False,outlink
COVID-19 pandemic in Moldova,False,backlink
COVID-19 pandemic in Monaco,False,backlink
COVID-19 pandemic in Mongolia,False,backlink
COVID-19 pandemic in Montana,False,outlink
COVID-19 pandemic in Montenegro,False,outlink
COVID-19 pandemic in Montreal,False,outlink
COVID-19 pandemic in Montserrat,False,outlink
COVID-19 pandemic in Morocco,False,backlink
COVID-19 pandemic in Mozambique,False,outlink
COVID-19 pandemic in Myanmar,False,outlink
COVID-19 pandemic in Nagaland,False,outlink
COVID-19 pandemic in Namibia,False,outlink
COVID-19 pandemic in Nauru,False,outlink
COVID-19 pandemic in Nebraska,False,outlink
COVID-19 pandemic in Nepal,False,outlink
COVID-19 pandemic in Nevada,False,outlink
COVID-19 pandemic in New Brunswick,False,outlink
COVID-19 pandemic in New Caledonia,False,outlink
COVID-19 pandemic in New Hampshire,False,outlink
COVID-19 pandemic in New Jersey,False,outlink
COVID-19 pandemic in New Mexico,False,outlink
COVID-19 pandemic in New South Wales,False,outlink
COVID-19 pandemic in New York (state),False,backlink
COVID-19 pandemic in New York City,False,outlink
COVID-19 pandemic in New Zealand,False,backlink
COVID-19 pandemic in Newfoundland and Labrador,False,outlink
COVID-19 pandemic in Nicaragua,False,outlink
COVID-19 pandemic in Niger,False,outlink
COVID-19 pandemic in Nigeria,False,backlink
COVID-19 pandemic in Niue,False,outlink
COVID-19 pandemic in Norfolk Island,False,outlink
COVID-19 pandemic in Normandy,False,outlink
COVID-19 pandemic in North America,False,backlink
COVID-19 pandemic in North Carolina,False,outlink
COVID-19 pandemic in North Dakota,False,outlink
COVID-19 pandemic in North Korea,False,outlink
COVID-19 pandemic in North Macedonia,False,backlink
COVID-19 pandemic in North Rhine-Westphalia,False,outlink
COVID-19 pandemic in Northern Cyprus,False,outlink
COVID-19 pandemic in Northern Ireland,False,outlink
COVID-19 pandemic in Northern Mindanao,False,outlink
COVID-19 pandemic in Norway,False,backlink
COVID-19 pandemic in Nova Scotia,False,outlink
COVID-19 pandemic in Nunavut,False,outlink
COVID-19 pandemic in Oceania,False,backlink
COVID-19 pandemic in Odisha,False,outlink
COVID-19 pandemic in Ohio,False,outlink
COVID-19 pandemic in Oklahoma,False,outlink
COVID-19 pandemic in Oman,False,backlink
COVID-19 pandemic in Ontario,False,outlink
COVID-19 pandemic in Oregon,False,outlink
COVID-19 pandemic in Ottawa,False,outlink
COVID-19 pandemic in Pakistan,False,backlink
COVID-19 pandemic in Palau,False,outlink
COVID-19 pandemic in Palestine,False,backlink
COVID-19 pandemic in Panama,False,outlink
COVID-19 pandemic in Papua New Guinea,False,outlink
COVID-19 pandemic in Paraguay,False,outlink
COVID-19 pandemic in Pennsylvania,False,outlink
COVID-19 pandemic in Peru,False,outlink
COVID-19 pandemic in Philadelphia,False,outlink
COVID-19 pandemic in Poland,False,backlink
"COVID-19 pandemic in Portland, Oregon",False,outlink
COVID-19 pandemic in Portugal,False,backlink
COVID-19 pandemic in Prince Edward Island,False,outlink
COVID-19 pandemic in Puducherry,False,outlink
COVID-19 pandemic in Puerto Rico,False,outlink
"COVID-19 pandemic in Punjab, India",False,outlink
COVID-19 pandemic in Puntland,False,outlink
COVID-19 pandemic in Qatar,False,backlink
COVID-19 pandemic in Quebec,False,outlink
